timestamp,question_id,question,pipeline_type,ontology_attributes_count,ontology_relationships_count,aql_results_length,structured_context_length,refinement_prompt_length,refined_context_length,refined_context_tokens,context_within_target_range,generation_input_length,final_answer_length,processing_time,ontology_time,refinement_time,generation_time,success_status,error_message,notes
2026-03-25T14:59:49.740380,1,"How do variations in cryospheric indicators, such as glacier retreat and sea ice extent, influence c...",1_pass_with_ontology_refined,5,0,0,0,0,22,5,False,22,22,3.72,3.03,0.00,0.69,success,,
2026-03-25T15:00:02.226976,2,How do cryospheric indicators compare to land surface/agriculture indicators in their sensitivity to...,1_pass_with_ontology_refined,5,0,0,0,0,22,5,False,22,5958,12.49,2.87,0.00,9.62,success,,
